area,population,price,income,employment,poverty,tracts
149,5300,336400,24068,68,10.2,352.01
150,4322,353500,24986,68.6,7.5,352.02
151,7226,348400,23558,62.4,7.5,353
152,6691,341400,22750,62.2,6.7,354
153,4088,927600,39253,67.4,9.6,401
154,5191,903400,40631,69.7,6.5,402
155,6930,661300,35545,70.5,6.8,426
156,5326,561800,29358,67.9,8,427
157,2376,"1,000,000+",92434,64.7,5.6,428
158,4996,567000,33378,67.7,8.3,451
159,6474,598400,31686,65.5,8.9,452
160,5137,512600,29848,68.1,8.4,476
161,4334,388000,23336,64.4,10,477.01
162,3824,497700,32129,67.1,4.8,477.02
163,7661,449700,30052,66.8,5.4,478
164,6400,442300,29210,68,5.7,479.01
165,3536,393000,30854,67.5,5.7,479.02
166,3235,"1,000,000+",36243,79.7,17,601
167,320,517900,18546,37.1,21.1,602
168,171,0,25956,89.6,13.4,9803
169,1689,520200,39547,80.9,8,604
170,797,254200,15689,65.3,0,605.01
171,3216,243500,9014,44.3,28.6,605.02
172,467,198400,18649,76.2,11.4,9806
173,9083,0,32918,69.1,13.9,607
174,350,311100,19430,68,16.8,9809
175,3610,302900,22369,57.1,8.6,610
176,4307,0,0,0.0,0.0,611
