population,price,income,employment,poverty,area
3713,0,41980,55.7,504,817
2714,319700,21545,35.1,709,818
6195,329900,41880,56.6,912,819
5025,344600,48748,62.2,767,820
4627,352700,22709,43.7,1126,821
4662,338500,35140,57.8,641,822
5830,264500,43783,52.7,780,823
6531,"1,000,000+",39572,51.3,1274,824
3839,"1,000,000+",265838,64,119,825
4283,"1,000,000+",329240,56.8,192,826
3980,"1,000,000+",238059,66,103,827
3159,"1,000,000+",351248,55.8,47,828
4550,"1,000,000+",256874,60.9,69,829
2940,"1,000,000+",240982,54.1,36,830
2960,"1,000,000+",307322,62.7,23,831
3092,"1,000,000+",380794,48.1,68,832
3225,"1,000,000+",339418,51.8,62,833
3472,"1,000,000+",281590,59.5,101,834
3890,"1,000,000+",332987,64.2,149,835
5936,"1,000,000+",229612,57.6,152,836
3373,"1,000,000+",201420,67.4,106,837
3443,"1,000,000+",268399,54.1,66,838
3542,"1,000,000+",315911,63.2,43,839
3249,639600,321641,61.4,192,840
2974,647100,117434,76.2,212,841
2178,789300,131497,79.5,154,842
4831,936700,121862,84.5,372,843
5499,"1,000,000+",135177,77.6,466,844
2536,"1,000,000+",212482,50,119,845
3077,680900,189966,52.6,234,846
3809,0,121556,57.6,820,847
11298,377100,0,34.1,0,848
4926,"1,000,000+",40232,56.9,3301,849
3612,440300,26549,57.4,2164,850
4644,"1,000,000+",46973,49.6,2439,851
1466,"1,000,000+",138408,71.3,26,852
1833,622500,206481,60.9,252,853
3871,739200,91768,64.2,1395,854
4374,869300,104447,71.3,643,855
2832,943500,113006,67,93,856
3066,"1,000,000+",186501,58.8,238,857
5207,857000,126674,71,248,858
6234,717300,128550,66.8,601,859
5187,569900,105238,70.9,378,860
4455,629200,76126,74.1,601,861
4530,686900,92843,79.7,370,862
3002,610600,78588,71.6,419,863
2838,628000,111056,79.8,293,864
5950,630300,82778,83.7,677,865
3095,683100,83242,77.9,124,866
2954,601300,97061,78.1,172,867
3415,932200,88147,80.9,189,868
2928,903000,136434,69.7,86,869
2352,845700,168569,50.3,46,870
3458,"1,000,000+",133301,69,213,871
5455,832700,194315,59.9,259,872
4422,"1,000,000+",104467,71.3,287,873
4342,"1,000,000+",197964,65.3,98,874
3758,610800,213573,60.7,134,875
2910,895200,63653,70.1,413,876
3263,660200,64741,71.6,411,877
3724,701200,86357,73.3,268,878
3561,474300,72068,71.6,276,879
3869,497700,57114,74.9,415,880
3822,0,56483,77.3,753,881
3116,421400,74272,79.2,284,882
2894,519400,75107,81.5,357,883
2790,461000,61872,81.4,410,884
4610,575700,63019,80.8,605,885
4090,657100,65079,65.4,596,886
2330,837800,87657,69,264,887
2413,648000,105370,63.5,258,888
2604,746400,69280,77,286,889
4645,855600,94206,68.1,325,890
3636,879800,153988,63.1,230,891
3064,992700,121157,64.7,75,892
4655,831200,105653,65.6,428,893
5917,691300,91837,73,521,894
4449,701000,71135,65,777,895
3804,659800,66411,69.1,775,896
6547,783800,66043,76.5,873,897
3487,928700,96022,66.8,294,898
4184,756200,101875,72.5,286,899
4240,599700,108589,67.8,274,900
2288,581500,72733,75.4,175,901
3683,776400,64571,76,394,902
3159,693300,100448,71.3,254,903
4141,866000,55618,70.7,419,904
2047,"1,000,000+",111651,67.9,155,905
3625,960900,108225,79.5,328,906
3779,970800,111158,79.2,307,907
2774,"1,000,000+",96921,82.5,244,908
2860,"1,000,000+",83352,88.4,288,909
2318,961300,155090,78,232,910
2799,945000,112692,73,259,911
3234,"1,000,000+",107807,79,312,912
3852,939600,145844,84,351,913
4507,"1,000,000+",152119,77.2,347,914
3847,704000,167763,65.4,172,915
1301,635100,92294,72.7,20,916
4225,597600,87537,76.1,185,917
4518,696600,64087,73.3,626,918
4978,706500,111815,60.8,500,919
5933,740900,92294,71.5,218,920
3240,616500,120850,80.2,181,921
5296,675900,54826,64.4,695,922
7393,623400,128983,77.1,581,923
2893,708400,79981,64.9,147,924
5620,489500,116891,66.3,186,925
6013,796000,67492,81.1,710,926
4325,771300,127940,65.3,467,927
5084,968900,120762,50.9,73,928
3726,477500,160157,71.1,256,929
5645,497100,92178,84.4,449,930
4160,851000,82214,69.6,483,931
5526,630400,157690,61.4,184,932
3067,282900,100919,71.3,199,933
2453,500000,66619,77.9,150,934
1578,677200,47059,73.1,228,935
2311,"1,000,000+",83169,68.8,161,936
2998,442000,149491,77.6,160,937
3268,396200,58518,64.9,498,938
2137,411100,41342,57.2,311,939
3573,429400,59239,66.1,336,940
5566,471600,64048,55.9,694,941
3321,494000,54859,62.9,355,942
2357,452200,72104,54.9,77,943
6800,452700,50955,70.6,864,944
6215,469100,69483,68.4,358,945
6185,496200,50154,69.7,1068,946
2850,530900,83324,66.5,127,947
5207,476800,89964,72.2,166,948
4431,505100,57749,72.4,478,949
2361,339300,86947,68.8,123,950
2592,385700,56485,78.5,161,951
4733,369200,79252,69.4,315,952
2623,421000,56062,72.2,282,953
5238,417300,78916,68.7,293,954
2625,389700,79364,63.2,198,955
5254,302800,51306,71,624,956
5076,113800,60032,64.9,375,957
2796,416700,48446,67.2,356,958
4455,384000,45701,65.9,563,959
3777,437100,55125,70.3,559,960
3959,382500,45274,61.8,647,961
4676,254500,56681,67.4,485,962
2972,479200,41868,62.7,507,963
4416,427800,42745,65.3,732,964
3680,377600,33542,63,869,965
4073,346600,40150,60.9,923,966
3294,512200,47048,63.5,500,967
5144,457800,99893,68.6,153,968
2911,436100,35645,62.7,579,969
4084,452900,42177,61.3,734,970
4163,517900,84477,71.1,213,971
3043,555100,89403,60,188,972
2842,439400,80405,67.1,111,973
4291,460300,48320,67.4,714,974
5675,444700,46507,65.4,865,975
4054,452100,47940,65.5,299,976
3893,657200,71211,68.3,436,977
4632,436100,84579,67.1,83,978
5024,353900,42987,60.1,948,979
3668,487900,54453,76.3,510,980
3330,486300,56729,68.3,410,981
4069,522900,72460,71.9,308,982
2217,786300,91586,56.9,65,983
3625,593500,115773,49.3,115,984
4725,670800,91331,63.7,265,985
2654,500000,93591,74.3,136,986
3854,801600,82960,69.7,126,987
5977,667200,146775,60.8,147,988
5887,641500,106045,60.4,228,989
6612,542300,124903,65.3,156,990
5559,639700,84651,69.4,235,991
3138,603200,97244,65.9,164,992
6066,603800,86285,76.4,305,993
9170,864400,76931,59.8,286,994
6381,950000,142830,68,123,995
5381,685700,162815,67.3,83,996
6871,850900,91961,60.9,727,997
6084,763200,153143,63.5,93,998
2071,686000,123147,59.1,146,999
5010,766100,70195,56.4,180,1000
6856,448400,96176,60.3,297,1001
4491,415800,75613,63.2,173,1002
4953,773000,63303,58.1,550,1003
2056,653000,99605,69.3,23,1004
5343,888200,81259,62.9,494,1005
2054,818300,223389,69.6,27,1006
3851,642100,137364,69,67,1007
1682,489600,85282,66.9,38,1008
7341,454700,51403,63,747,1009
6477,577100,41650,58,797,1010
3921,600400,62666,69.9,314,1011
2784,476200,78651,64.5,194,1012
5758,404500,60088,63.4,376,1013
3952,380300,56829,66.6,245,1014
3451,423000,56992,57.5,372,1015
7650,339300,62536,64.2,894,1016
3595,378600,53638,63.2,481,1017
3728,381300,50864,51.9,205,1018
4306,529700,79556,66.3,354,1019
6215,460300,64989,62.9,535,1020
5607,402200,57276,57.6,629,1021
3977,488500,61341,66.5,227,1022
3848,458900,43496,49.2,419,1023
5263,460500,46287,64.5,653,1024
4054,682700,71656,64,340,1025
4826,399000,48085,62.7,599,1026
5737,411500,44360,67.7,852,1027
4614,414800,42431,56.4,807,1028
4395,454200,41962,56.6,823,1029
3910,581400,41643,63.1,446,1030
3547,834600,61346,61,342,1031
5775,692500,135554,62.1,143,1032
5593,704000,77424,64.3,303,1033
4927,704300,84707,68.4,399,1034
2877,626000,111902,63.6,100,1035
3350,510200,76543,65.7,265,1036
3247,477100,69572,81.1,204,1037
6094,753200,66471,68.7,430,1038
2416,409400,93952,68.3,81,1039
2471,430000,48682,59.1,202,1040
7126,471900,62644,62.3,277,1041
5483,528200,60219,65.5,687,1042
5055,568200,89478,66.6,232,1043
6322,604300,85687,70.9,117,1044
3952,559000,90920,71.4,125,1045
3777,572100,89578,69.6,249,1046
3213,605100,90875,69.5,149,1047
3634,714100,90485,60.6,226,1048
2267,618300,91378,68.3,108,1049
5687,518100,81892,74,337,1050
7914,618900,91916,76.2,448,1051
5854,575400,92484,69.5,272,1052
3214,564000,66175,76.2,258,1053
3602,0,55280,70.6,343,1054
0,393600,0,0,0,1055
7788,248200,76141,68,580,1056
3188,359000,51643,74.5,257,1057
6244,369800,75657,64.9,259,1058
6610,723500,46244,65.5,938,1059
6668,967000,138694,66,142,1060
3468,670500,202323,57.4,146,1061
5332,687200,150758,62,79,1062
4674,545500,134556,64.4,135,1063
2971,458400,88840,63,105,1064
6829,607000,79241,61.6,552,1065
4332,574500,102056,66.3,265,1066
3987,715200,117289,65,119,1067
4448,932500,132411,62.3,18,1068
2232,430800,180768,59.8,29,1069
4151,381200,68909,66,572,1070
5003,394300,86125,69.3,258,1071
2905,413400,76424,58.8,316,1072
5055,487800,88175,47.9,135,1073
3992,655300,76110,62.8,179,1074
3083,546600,109388,62.5,64,1075
4036,489600,89167,63.5,228,1076
4820,435200,70901,69.6,254,1077
3216,536000,66941,57.6,181,1078
3233,448700,107509,67.6,22,1079
4751,464100,91467,64.1,294,1080
5547,698500,82625,65.8,256,1081
2447,595300,142773,70.7,14,1082
6058,414100,110926,62.2,187,1083
6343,366500,84790,66,210,1084
5545,402800,87631,52.8,125,1085
5647,245700,71307,61.7,329,1086
5192,450700,80753,57.8,102,1087
5645,329000,73966,65.6,501,1088
2928,448200,70397,49.4,162,1089
3996,442900,83132,54.8,195,1090
3982,288100,56947,64.4,421,1091
5984,563600,67244,57,580,1092
7467,0,97840,63.7,340,1093
4391,624500,71892,43.5,18,1094
5424,445900,102415,58,96,1095
3275,441100,61760,56.1,275,1096
4086,372000,76917,60.1,294,1097
5042,399100,65159,61.3,389,1098
4927,426000,59536,59.5,442,1099
6728,361900,70763,57,505,1100
6138,358900,66995,65.8,551,1101
4599,352300,46005,56.4,850,1102
4183,334900,32571,57.7,701,1103
6393,219700,66551,66.5,568,1104
5086,0,54548,50.2,211,1105
2102,313500,0,38.8,0,1106
3094,302300,88736,57.7,262,1107
4028,84100,57172,68,418,1108
5557,305500,46530,66,651,1109
6708,388400,44589,63.6,786,1110
8285,302900,65316,58,1090,1111
5995,295900,42121,63.1,1107,1112
4488,329600,57420,67.1,494,1113
3538,345700,72874,62.1,218,1114
4203,265900,72019,63.6,271,1115
5276,242600,42863,64,681,1116
3531,319000,45558,61.3,406,1117
4374,293400,52413,65.3,763,1118
6224,350800,59863,66.9,736,1119
4443,281400,55325,56.7,388,1120
3282,295200,63327,67.7,410,1121
7354,0,64815,60.6,609,1122
741,517200,0,13.1,98,1123
2456,675500,84130,73.5,41,1124
4940,567000,106761,54.2,102,1125
2158,435300,98966,64.3,84,1126
5164,490200,82991,62.2,229,1127
7570,498000,102310,66.5,202,1128
4339,469400,100967,61.8,186,1129
6069,526200,101582,68.3,230,1130
4251,620100,85718,69.7,207,1131
5223,583400,104093,63,252,1132
5950,551000,105942,63.8,217,1133
3597,570900,87712,62.5,91,1134
5190,734200,97501,60.7,319,1135
6904,622200,136586,62.6,292,1136
4857,561300,133990,63.8,110,1137
5028,600600,103942,61.6,196,1138
3626,802800,98310,64.6,91,1139
5028,760600,141982,64.6,172,1140
2663,709800,142083,61.2,97,1141
1771,601000,147214,61.9,0,1142
2889,913900,87438,58,290,1143
2243,611700,138239,65.3,143,1144
6336,919700,110333,64.8,180,1145
1714,625400,134469,53,37,1146
6949,526700,93261,65.2,241,1147
3540,477000,95993,59,128,1148
4650,432500,106484,67.7,84,1149
4991,452300,78896,66.7,276,1150
5586,407000,64238,64.1,533,1151
5752,355600,74064,65.4,384,1152
5992,425700,71700,70,492,1153
3387,420700,88555,65.5,170,1154
4670,383100,68493,55.3,239,1155
5056,353300,84187,65.9,272,1156
5550,362700,63134,64.1,314,1157
3829,362000,49212,66.1,607,1158
4031,429800,57475,61.4,562,1159
5839,327700,53706,65.7,558,1160
1842,368800,60712,56.3,86,1161
3758,423600,61492,64.8,293,1162
5079,268200,67447,65.5,255,1163
2737,402600,62158,63,138,1164
3396,328100,80646,68.9,194,1165
5270,395100,46983,72.2,474,1166
1497,360600,73599,65.9,61,1167
5505,311700,60959,64.4,361,1168
6562,390700,59110,64.6,805,1169
3428,367300,63613,68,228,1170
7341,314000,58315,60.1,579,1171
4577,319000,58680,60.8,346,1172
1866,405200,61444,59.8,105,1173
6064,414700,68018,65.4,639,1174
4428,371800,72123,65,302,1175
2367,364200,58723,63.5,219,1176
6152,352100,65161,66.5,517,1177
3380,413200,69205,66.6,286,1178
5153,322400,62156,59.6,372,1179
4973,371200,54601,64.8,409,1180
5276,353800,56583,60.9,474,1181
4992,326500,61649,63.5,300,1182
3059,428100,70373,60.1,284,1183
3602,493800,55879,66.5,282,1184
6405,396300,78974,66.1,259,1185
5233,435400,84425,63.1,308,1186
6481,488200,76219,70,406,1187
5178,415500,83113,68.9,140,1188
3853,419700,76394,72.2,54,1189
5121,371800,64673,63.6,340,1190
5478,411300,67463,68.1,443,1191
3921,420200,95589,72.6,147,1192
5737,389400,77475,67.5,520,1193
3243,453100,67552,60.9,185,1194
5802,440100,71718,70.9,368,1195
5466,779100,63468,60.4,446,1196
5393,545800,109473,58.9,282,1197
1930,472000,92974,63.1,30,1198
1925,493000,87317,59.8,78,1199
2454,464200,96318,62.5,51,1200
6349,463500,85090,74.1,311,1201
5291,482500,87817,63.4,170,1202
4992,476500,68956,59.4,160,1203
3632,454000,65817,59.6,58,1204
6809,439900,67419,63.3,500,1205
4802,428900,88904,65.7,148,1206
4506,412600,51461,54.4,501,1207
3447,391900,79885,68.3,119,1208
5723,421200,68286,64.7,437,1209
3639,418300,73524,61.9,202,1210
5365,379300,62960,70,206,1211
5793,339100,63294,61.1,448,1212
6804,378100,59860,61.4,321,1213
4883,413100,75245,61,88,1214
3582,470500,69931,58,263,1215
2036,387000,75382,64.9,176,1216
4502,388400,67569,59.9,210,1217
3926,378100,69437,63,283,1218
4390,308000,69533,73.8,337,1219
4392,413800,61779,62.3,310,1220
5018,371000,53073,58.1,544,1221
6498,392700,70585,60.1,241,1222
4875,435100,70980,56.8,239,1223
3609,378200,77911,66.3,123,1224
6319,400200,85066,65.3,584,1225
4851,321400,93396,66.4,252,1226
2533,601300,73976,78.5,68,1227
4833,429900,106341,67.5,105,1228
3769,456700,77387,70.4,218,1229
5638,457000,72604,63.1,438,1230
2546,447900,104630,63.4,90,1231
4483,395600,83780,72.4,192,1232
3531,410100,73704,61.6,249,1233
4341,166700,74137,66.4,346,1234
6145,435200,56348,57.5,583,1235
3994,402800,54742,53.3,221,1236
3671,359000,57845,58.4,323,1237
5087,478400,67306,63.8,259,1238
2067,359400,75634,62.4,151,1239
6271,452500,66793,58.5,502,1240
4921,371600,72881,55.3,327,1241
5008,520400,74146,62.5,550,1242
3750,476100,83068,61.4,185,1243
4198,429500,86863,68.3,93,1244
4968,481200,82947,62.8,230,1245
5425,366700,93483,57.9,190,1246
3278,602300,65042,58.4,174,1247
6321,479000,101603,58.1,137,1248
5164,614800,102381,66.7,276,1249
2922,393700,123504,61,81,1250
3128,555900,77629,61.4,71,1251
3518,591900,97420,60.3,141,1252
4074,697000,116328,57,74,1253
4763,658300,95124,60.2,479,1254
2889,536800,118214,59.7,125,1255
5320,572000,91190,61.5,272,1256
2949,421100,104687,58.7,105,1257
2706,412600,70036,56.7,161,1258
5355,785100,75353,66.9,509,1259
6873,441800,139714,53.7,237,1260
3205,456100,63292,51.2,163,1261
5449,681300,77423,62.7,246,1262
1936,497100,134771,59.2,30,1263
4534,433700,89247,58.7,182,1264
2875,0,71626,60.7,114,1265
5194,284300,43925,70,416,1266
3755,406300,37389,51.2,906,1267
6893,573200,69788,59.1,492,1268
4598,368700,104083,67.3,60,1269
4999,355300,56387,55,399,1270
5009,"1,000,000+",63231,64.7,304,1271
1171,676400,159112,42.5,57,1272
4460,624900,142996,65.4,129,1273
6048,887000,112197,71.3,182,1274
4808,803500,139681,60.6,185,1275
4481,798700,147423,65.5,161,1276
6502,980800,100238,67.2,446,1277
4666,915000,218931,61.7,116,1278
5258,644500,126490,66.7,216,1279
3232,518800,94097,56.2,247,1280
4096,484100,71488,66.4,254,1281
5393,498900,73489,68.1,454,1282
6683,841900,76768,68.7,544,1283
4366,774600,111623,57.1,269,1284
5193,469000,112498,56.9,276,1285
4126,487600,64897,74.8,338,1286
4509,495100,80336,72.4,216,1287
6919,528500,71909,77.2,789,1288
3156,489100,74666,66.8,204,1289
7061,387300,64921,66.4,417,1290
5833,598300,63003,61.6,616,1291
2749,482900,108610,71.2,35,1292
3798,459700,79550,64.4,109,1293
4219,476500,61567,53.3,634,1294
4418,819600,72299,63,198,1295
3876,898500,116319,61.5,147,1296
6298,600100,117399,52.5,286,1297
5962,605300,80900,57.7,491,1298
4100,613500,77643,55.4,312,1299
7634,546200,89594,56.2,292,1300
4379,586400,90206,66.7,228,1301
5490,475600,86188,58.3,232,1302
4436,454600,59647,53.6,372,1303
4340,428900,63188,59.3,253,1304
4046,439100,66118,68.1,131,1305
4205,392900,47444,62.3,650,1306
6525,417600,47166,56.2,1050,1307
8320,489800,66410,62.7,599,1308
6688,420500,56582,60.3,815,1309
4412,399400,65687,61,327,1310
5285,341800,57671,63.7,509,1311
3081,374000,39961,52.8,212,1312
5530,456500,44223,59.6,894,1313
4870,498400,62812,60.2,593,1314
3605,446700,73396,58.6,198,1315
2648,443500,71625,55.7,242,1316
4673,362600,43399,63.5,775,1317
5917,355600,51640,63.6,582,1318
1884,348400,43949,61.6,254,1319
4638,356000,44547,56.1,537,1320
4922,343800,46578,61.3,1013,1321
3592,377400,59401,61.2,491,1322
3119,371600,74618,60.4,358,1323
2798,408700,57843,66,262,1324
4597,360000,39941,51,647,1325
4702,77200,45793,63.3,981,1326
2017,416300,35893,61.9,267,1327
3416,404200,61454,63.1,253,1328
4719,447200,47972,58.9,592,1329
4683,441700,61946,54.3,373,1330
2446,380100,51485,54.7,402,1331
3770,408600,56158,55,183,1332
5682,379100,49830,58.5,832,1333
2788,364400,66648,57.6,180,1334
5484,372300,45061,65.4,783,1335
3442,297400,49189,63.9,319,1336
4717,457600,52006,59,560,1337
4770,403300,60332,58.6,616,1338
2822,767400,70027,55.7,149,1339
4609,752700,139453,65.1,168,1340
6085,629700,163150,62.3,385,1341
5233,628700,102991,65.4,139,1342
4552,493100,125350,65.9,205,1343
4672,661200,87792,68.3,563,1344
1142,"1,000,000+",93633,62.9,115,1345
5740,"1,000,000+",225416,58.7,62,1346
4208,"1,000,000+",239476,63.4,82,1347
4513,"1,000,000+",219545,59.5,0,1348
5137,"1,000,000+",274995,54.9,59,1349
3177,514800,244745,68.2,34,1350
6579,462600,64779,65.9,536,1351
6506,611400,70042,64.2,444,1352
5617,788200,92399,70.9,468,1353
4716,657400,151685,67.4,240,1354
6866,694000,122869,64.5,318,1355
3352,475500,87990,64.1,242,1356
3934,441300,84564,70.9,392,1357
7147,489900,53023,54.3,964,1358
5391,696200,73597,66.8,468,1359
1564,490700,145523,60.2,130,1360
4821,496400,59345,72.9,500,1361
1336,494100,72963,67.3,175,1362
4295,582400,58718,70.9,581,1363
4115,615900,59636,67.2,235,1364
5142,375000,68812,70.7,449,1365
3828,601900,41811,54.7,515,1366
2911,476300,72427,63,587,1367
5075,443800,50745,61.8,669,1368
2487,643400,79809,74.9,323,1369
4415,650100,101149,68.7,352,1370
5911,838500,116006,69,313,1371
2342,540600,133311,57,105,1372
5227,647100,75439,70.1,254,1373
2727,634600,74733,71.7,289,1374
3863,733200,108321,66.4,251,1375
2334,555100,125302,66.2,60,1376
2262,700000,86131,69.9,180,1377
3793,795500,172449,64.5,347,1378
3524,750000,97598,63.4,187,1379
2147,814600,133902,72.3,64,1380
5295,456500,122486,74.4,297,1381
5958,456600,94442,59.9,588,1382
5965,535400,87565,76.9,446,1383
5620,944000,78090,69.9,695,1384
2636,871500,157281,65.7,228,1385
3741,842600,198908,68.7,54,1386
3498,869300,152398,62.8,94,1387
5917,"1,000,000+",171581,77,179,1388
7205,"1,000,000+",274654,54.6,172,1389
6000,685600,164488,55.5,274,1390
3452,573900,133293,65.6,56,1391
5479,616200,94293,63.3,314,1392
5060,611800,76918,65.6,304,1393
4359,620000,83120,64.3,150,1394
4584,676800,103952,64.3,204,1395
4157,696500,123577,64.9,17,1396
2649,575000,122938,64.8,16,1397
4447,443300,77187,66.7,392,1398
4253,369400,55998,64.2,488,1399
4238,573200,53834,64.6,607,1400
5554,974000,85939,65.2,275,1401
5424,787900,146321,73.4,107,1402
7578,828700,94942,75.5,573,1403
4755,804900,128941,62.9,131,1404
3205,674100,126507,77.4,100,1405
4785,477600,97056,72.6,270,1406
3164,552400,75405,60.8,168,1407
3545,449300,92835,68,129,1408
5660,533400,66557,69.1,492,1409
4350,371000,58598,61.5,380,1410
3808,518700,48182,65.5,592,1411
2904,421900,79258,63,273,1412
4169,481700,60709,55.7,344,1413
5674,468200,72761,65.8,533,1414
4086,422700,56044,60.3,354,1415
3536,524100,63651,63.1,400,1416
4903,569100,72621,58.7,303,1417
3640,524600,70073,65.8,172,1418
5254,525300,63739,68.6,426,1419
3429,550400,67046,61.9,264,1420
6132,490600,66019,60.1,689,1421
7204,488300,62758,59.7,915,1422
4252,575300,68887,53.2,289,1423
3874,434700,67694,68.3,401,1424
3907,485300,64766,67.3,360,1425
3234,521100,67242,64.6,328,1426
4675,471200,60964,67.7,637,1427
4465,537900,51212,56.1,723,1428
4825,486900,51104,59.6,727,1429
2686,397600,59839,57.4,383,1430
2661,572800,46892,50.7,529,1431
2718,592100,87465,55,136,1432
5721,449800,86201,62.9,252,1433
3652,560200,69658,63.4,207,1434
2757,571200,111558,52.2,183,1435
6896,521300,94649,58.2,471,1436
4983,518800,71646,61.6,381,1437
3010,512000,92169,55.6,133,1438
3992,425900,79470,59.7,410,1439
4964,471600,76175,64.7,420,1440
5359,483100,62846,65.6,682,1441
6165,552900,52962,60,694,1442
3518,462200,48006,65.5,435,1443
3876,414800,103034,61.4,377,1444
7186,541700,61437,60.4,467,1445
2848,496200,44767,55.7,496,1446
4514,428400,53013,55.7,812,1447
5555,374700,76566,56.1,412,1448
4371,524200,77790,60.4,220,1449
6753,486000,85813,58.2,340,1450
4525,456200,68860,60.3,157,1451
2387,470600,70507,53,135,1452
4234,927300,84682,54.6,246,1453
3365,678600,136025,58.9,65,1454
6098,951200,136450,55.9,103,1455
5030,634800,166573,53.8,124,1456
3251,354500,126577,66.9,197,1457
4093,421300,53536,68.4,387,1458
4404,418100,75752,55,334,1459
4948,198400,77384,60.4,318,1460
3019,404200,51406,55.3,74,1461
6064,444600,60587,59.1,696,1462
6685,421300,75650,58.8,406,1463
5363,410800,64030,61.4,363,1464
5631,465300,59706,60.8,660,1465
2655,411500,68749,64.1,93,1466
4961,461200,81004,71.6,220,1467
5095,456100,81144,65.9,230,1468
7480,425500,82662,68.3,341,1469
4082,535600,59030,68,437,1470
2227,783300,120535,65.2,98,1471
4924,438000,68935,73.4,386,1472
3650,687200,46508,57.6,493,1473
7510,619300,119134,58.3,289,1474
3886,552900,88530,58.1,369,1475
3545,382700,75025,70.9,221,1476
4707,392000,42681,62.8,689,1477
2037,413100,52959,59.9,265,1478
4116,415800,86031,69.3,166,1479
2966,428400,64201,74.3,290,1480
3994,429800,66455,67.6,280,1481
4465,369300,80870,64,119,1482
5421,433000,64728,62.7,202,1483
6297,402400,66608,59.8,320,1484
6485,297500,74722,62.4,398,1485
2431,411200,48692,54,398,1486
4683,426400,65759,66.1,125,1487
3710,361600,79909,64,224,1488
3893,433200,58199,61.2,391,1489
7641,448600,78367,66.1,232,1490
4859,391500,64610,61.3,153,1491
6398,453000,66872,54.9,231,1492
6693,32900,90720,68.3,156,1493
2222,427500,40263,41.6,141,1494
5210,403100,79982,64,129,1495
4247,330100,58018,56.3,574,1496
5942,405500,51399,63,746,1497
5215,358300,79324,70.4,257,1498
2790,369200,75053,67.7,245,1499
3977,373200,70572,56.5,195,1500
3753,484100,62898,62.2,186,1501
4201,425800,85307,55.3,122,1502
4715,429800,69842,59.2,292,1503
3220,439200,96520,66.7,78,1504
6616,478400,72315,66.7,365,1505
6512,476100,89116,67,234,1506
4568,429200,86448,61.2,153,1507
6582,457900,76755,67.1,526,1508
4149,469500,68249,61.9,253,1509
4144,608200,90551,62.8,89,1510
3632,534400,119150,63.2,201,1511
5274,496600,72039,65.3,200,1512
5254,533800,95073,65.3,144,1513
7513,515400,101496,57.1,164,1514
4344,507100,92574,60.8,253,1515
5039,491100,96601,64.2,249,1516
3073,494200,113686,60.7,84,1517
4535,533000,96074,62.1,138,1518
5420,489700,91923,55.5,117,1519
5429,429000,79957,58.3,256,1520
5625,0,71709,63.5,238,1521
0,599400,0,0,0,1522
2962,490900,93743,45.9,58,1523
4079,591700,84140,66.3,330,1524
4757,502900,89305,52.3,204,1525
3782,405100,71396,61.4,92,1526
5749,441300,51382,55.5,538,1527
4746,437600,50206,48.3,352,1528
4153,435200,67407,56.5,158,1529
3190,472400,62082,70.9,227,1530
3839,427700,61904,61.1,246,1531
2476,421900,62354,62.9,203,1532
7021,431100,50534,63.5,769,1533
4009,338600,47910,55.4,616,1534
4694,429500,46295,56,494,1535
3920,426700,57366,58.6,436,1536
1457,351100,41823,57.6,143,1537
2110,354300,57361,61.7,295,1538
5943,434000,41493,56.3,859,1539
3344,375600,53842,61.3,407,1540
4089,289700,52504,67,486,1541
4690,285200,38596,55.7,656,1542
5151,366500,51955,66.6,624,1543
4547,353300,45841,60.8,529,1544
2916,322700,43278,65.1,370,1545
5344,376600,43274,60.7,808,1546
3983,363700,42789,60.6,552,1547
5729,332200,43591,61.9,1057,1548
7029,322800,42411,61.4,1182,1549
3756,301200,45677,63.9,483,1550
3526,386900,37775,62.3,560,1551
4678,340000,41013,59,670,1552
4994,344200,40725,60.7,668,1553
3813,384800,50289,56.2,497,1554
3768,422600,43755,61.9,670,1555
5494,440100,52030,68.8,687,1556
4799,419100,51450,69.7,547,1557
4668,395300,48435,58.1,477,1558
7055,337700,46602,65.1,750,1559
3864,357500,50802,67.1,394,1560
3400,350000,53155,50.2,278,1561
3109,360100,45228,67,354,1562
6511,411500,49164,58.4,738,1563
3498,429900,72486,64.8,190,1564
6645,354100,52323,62.4,748,1565
4598,416000,49685,56.6,401,1566
4455,387900,65725,62.3,325,1567
4682,325000,55245,52.6,981,1568
60,339000,45948,65.5,12,1569
3843,555100,52652,69.2,453,1570
3442,312500,39452,68.7,596,1571
3003,356800,46550,67,274,1572
4305,546900,37635,62.5,427,1573
4525,474000,45818,64.7,638,1574
2742,414000,43111,64.8,363,1575
4152,373000,42722,58.3,773,1576
6471,404300,38030,60.4,1184,1577
3879,379400,41058,58.4,448,1578
2909,536900,54289,60.2,404,1579
3306,334200,34977,66.9,620,1580
4621,569300,32748,61,1025,1581
2579,448400,38511,57.3,457,1582
1935,519700,43508,64.2,333,1583
3668,289300,44374,74.3,522,1584
2584,370600,44109,68,312,1585
2444,393200,57529,66.5,250,1586
1577,296200,49665,71,199,1587
3616,389400,44608,66.6,534,1588
4985,409900,52251,64.7,764,1589
4204,405900,44638,64.7,423,1590
3052,462500,47569,66,309,1591
3204,438100,41481,64.4,555,1592
2348,424200,55063,64.5,130,1593
2002,359500,49988,66.1,261,1594
4602,411200,39944,63.3,861,1595
5415,347200,47722,63.4,706,1596
6587,335600,42719,61.5,805,1597
3914,390600,46247,65.4,536,1598
3600,270800,44859,69,477,1599
4183,373700,48345,66.3,529,1600
6133,326600,44093,61.1,713,1601
4115,309100,40289,64.4,340,1602
